categoria,Jugador,puntos,asistencias,rebotes,libres,dobles,triples,robos,score_global,Partidos_Jugados,Rank_puntos_Categoria,Rank_asistencias_Categoria,Rank_rebotes_Categoria,Rank_libres_Categoria,Rank_dobles_Categoria,Rank_triples_Categoria,Rank_robos_Categoria,Rank_score_global_Categoria,Torneo,picture
PRIMERA B,FACUNDO VARELA,4.0,1.0,4.0,3.0,0.5,0.0,1.0,10.0,2,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/9BXjQNmC9EGdxLTaNwi6eN.jpg
PRIMERA B,FARRUGGIA GONZALO,22.75,2.0,10.25,6.25,5.25,2.0,2.25,37.25,4,3,13,8,1,10,7,10,2,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
PRIMERA B,FEDERICO FERNANDEZ,0.6666666666666666,0.0,1.3333333333333333,0.0,0.3333333333333333,0.0,0.0,2.0,3,116,38,83,39,59,30,39,155,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
PRIMERA B,FEDERICO FONTEIRIZ,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
PRIMERA B,FEDERICO LAPROVITTOLA,11.0,1.0,8.0,1.6666666666666667,1.6666666666666667,2.0,1.6666666666666667,21.666666666666668,3,34,25,21,18,43,7,17,30,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
PRIMERA B,FEDERICO MARTINEZ,0.5,0.0,1.0,0.0,0.25,0.0,0.25,1.75,4,118,38,85,39,60,30,37,156,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/jAv7KwdDga5c51hBD6xj5F.JPG
PRIMERA B,FEDERICO RAFAEL SILVA,5.0,1.0,0.0,0.0,1.0,1.0,1.0,7.0,1,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
PRIMERA B,FELIPE MASSA,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
PRIMERA B,FERMIN ARIZU,11.833333333333334,0.6666666666666666,3.3333333333333335,2.3333333333333335,2.0,1.8333333333333333,0.6666666666666666,16.5,6,31,30,63,13,40,8,31,53,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
PRIMERA B,FERNANDEZ CALI FRANCO,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
PRIMERA B,FERNANDO ARIEL LISERI,4.0,1.75,4.0,0.25,0.0,1.25,1.75,11.5,4,86,15,55,37,62,15,16,83,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
PRIMERA B,FERNANDO GABRIEL PERI,6.0,2.0,9.0,3.0,1.5,0.0,1.5,18.5,2,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/i16aNhTCL4j8TC2wdK6EY4.jpg
PRIMERA B,FERNANDO GOMEZ MARCOLIN,2.5,0.0,2.0,0.0,0.5,0.5,0.0,4.5,2,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
PRIMERA B,FLORES GARCIA EMILIANO,16.0,0.0,7.5,0.0,2.0,4.0,1.5,25.0,2,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
PRIMERA B,FRANCISCO DE LUCAS,3.0,0.6666666666666666,4.666666666666667,0.0,0.0,1.0,1.0,9.333333333333334,3,94,30,48,39,62,17,27,100,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
PRIMERA B,FRANCISCO DJEBIGUZELIAN,4.0,0.5,2.3333333333333335,0.0,0.5,1.0,0.6666666666666666,7.5,6,86,32,73,39,57,17,31,112,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/eZymfVPVvAHKPseznuvRLU.jpg
